home,away,goals_home,goals_away,result,game_week,model_h,model_d,model_a,bs_model,ll_model,elo_h,elo_d,elo_a,bs_elo,ll_elo,odds_h,odds_d,odds_a,bs_odds,ll_odds,blend_h,blend_d,blend_a,bs_blend,ll_blend,div_home,div_draw,div_away,div_max
Atlético Mineiro,Atlético GO,1,1,D,13,0.5015281628995524,0.29091683197449014,0.20755500512595743,0.7974085175113296,1.2347178534344172,0.627485382956677,0.197895037481108,0.174619579562215,1.0676022742882054,1.6200185025793412,0.6911087148318793,0.20292128222723263,0.10597000294088814,1.1241953795661426,1.5949371474231042,0.6266513271748881,0.23283976914130017,0.1405089036838117,1.000969457675649,1.4574047480698162,0.18958055193232692,0.08799554974725751,0.10158500218506929,0.18958055193232692
Grêmio,Fluminense,1,0,H,13,0.41347913440818906,0.3102538627471097,0.27626700284470124,0.5165876419848636,0.8831482267149501,0.4766833125756643,0.2425135623643764,0.2808031250599593,0.4115235783108793,0.7409029235186271,0.3969497394802401,0.285755987155956,0.31729427336380395,0.5460017568178894,0.9239456071149457,0.40256973375574273,0.29408526485694825,0.303345001387309,0.535427255897332,0.9098869455627758,0.01652939492794897,0.024497875591153684,0.04102727051910271,0.04102727051910271
São Paulo,Bahia,3,1,H,13,0.4450270231080562,0.31555695205825196,0.23941602483369176,0.4648912280197668,0.8096202725741314,0.5602924996555124,0.2186613390752743,0.22104616126921325,0.2900168724772446,0.5792963108015621,0.45978213768061804,0.2785738834182568,0.2616439789011252,0.43789631898686365,0.7770025154271942,0.45476539872594707,0.29114812675585516,0.2540864745181978,0.44660793867300586,0.7879736001980067,0.014755114572561845,0.036983068639995176,0.022227954067433414,0.036983068639995176
Fortaleza,Juventude,2,1,H,13,0.46313451475653544,0.2975401982746588,0.2393252869688058,0.4340313118177252,0.7697377384593475,0.6407557073483703,0.1935340067301139,0.16571028592151582,0.19397177242397207,0.4451070064840324,0.608436038473983,0.2409036091419831,0.15066035238403389,0.23405542664406276,0.4968634855157064,0.5590335204100508,0.26016004944709287,0.18080643014285636,0.2948256526312705,0.5815458426694957,0.14530152371744753,0.05663658913267566,0.08866493458477193,0.14530152371744753
Vitória,Atlético PR,0,1,A,13,0.37646151567031183,0.3118837116345244,0.3116547726951639,0.712813874317062,1.1658592015651754,0.5265288096246711,0.22847901923152727,0.2449921711438017,0.8994720712279243,1.4065290234630616,0.40106951871657753,0.3181818181818181,0.2807486631016043,0.7794189138951642,1.2702954472570085,0.3927027976808472,0.31604046195573826,0.2912567403634146,0.7564140689798533,1.2335501314913424,0.024608003046265703,0.006298106547293736,0.030906109593559605,0.030906109593559605
Flamengo,Cruzeiro,2,1,H,13,0.6164298814733975,0.24963549425590728,0.13393462427069522,0.22738239939743535,0.48381069930461773,0.6482874888147818,0.19101214424970578,0.16070036693551237,0.18601193770829094,0.43342102543753286,0.5709391949757351,0.2383671139023694,0.19069369112189552,0.2772761392319083,0.5604725636554044,0.5864060283849403,0.24219836322257227,0.1713956083924874,0.2590964750802428,0.5337428481335125,0.045490686497662414,0.011268380353537888,0.0567590668512003,0.0567590668512003
Criciúma,Internacional,1,1,D,13,0.22445209298368365,0.2900034647958861,0.48554444222043025,0.7902272274177515,1.237862408500968,0.27138472560749083,0.23887600454505853,0.48973926984745064,0.892803958181061,1.431810671113709,0.34069400630914826,0.3123028391167192,0.34700315457413244,0.7094109803063022,1.163781923742691,0.3011717557784903,0.304721051847636,0.39410719237387376,0.7294377213033738,1.1883585049680612,0.1162419133254646,0.022299374320833065,0.1385412876462978,0.1385412876462978
Palmeiras,Corinthians,2,0,H,13,0.5814675052013448,0.25155148011266754,0.16698101468598756,0.26633025561482204,0.5422001895799267,0.5660253278211607,0.21696038677274235,0.21701428540609705,0.28250102559162793,0.5691164529795146,0.621470932916652,0.22639298270535177,0.1521360843779964,0.2176834254150843,0.4756661383661933,0.6078697674934475,0.2349468718238391,0.15718336068271338,0.2336727607009624,0.4977946181612479,0.04000342771530718,0.025158497407315766,0.014844930307991167,0.04000342771530718
Cuiabá,Botafogo,1,2,A,14,0.1850805422858952,0.291180004043335,0.5237394536707698,0.3458647098773345,0.6467609441379863,0.24151729839382763,0.22708096202650538,0.531401739579667,0.32948069840729866,0.6322369720831841,0.34010564811052413,0.30719219829337663,0.3527021535960991,0.6290334005281251,1.0421313357307058,0.28739711213015035,0.3017480522483625,0.4108548356214872,0.5207410118070157,0.8895153248762551,0.15502510582462892,0.016012194250041634,0.17103730007467072,0.17103730007467072
Vasco da Gama,Fortaleza,2,0,H,14,0.40322601070685193,0.3141235258615701,0.282650463431578,0.5347040682746488,0.9082580536240263,0.36681848468420636,0.27292586383309275,0.36025565148270094,0.6051914929118697,1.0028881454197311,0.3979853841595892,0.29389689907169664,0.3081177167687142,0.543733512356202,0.9213399975891258,0.39976719718565845,0.3007739521802536,0.2994588506340879,0.5404199911075787,0.9168729083418473,0.005240626547262761,0.02022662678987347,0.025467253337136175,0.025467253337136175
Criciúma,Cruzeiro,1,0,H,14,0.36008208683599074,0.29929781029654984,0.34062010286745953,0.6150961693139287,1.0214232545354966,0.37721307851855657,0.27001439743627614,0.35277252404516735,0.5852197781124071,0.9749450561872343,0.3560660445082555,0.3101220387652548,0.3338119167264895,0.622257013711775,1.0326390470548783,0.3574314988996855,0.3064418010858952,0.33612670001441936,0.6197820145216557,1.028811546677309,0.004016042327735225,0.010824228468704955,0.006808186140970007,0.010824228468704955
Atlético Mineiro,Flamengo,2,4,A,14,0.3207382902258179,0.3206327080004885,0.3586290017736937,0.617035141622516,1.0254668460849534,0.3661926893796983,0.2731017190613199,0.36070559155898185,0.6173789753733356,1.0196931892272258,0.35554450522128295,0.295375435106912,0.34908005967180505,0.6373553115745053,1.052453985746841,0.3437103921228248,0.303962907890728,0.35232669998644717,0.6300109865770587,1.0431964088641992,0.034806214995465046,0.025257272893576488,0.009548942101888669,0.034806214995465046
Bragantino,Atlético GO,3,1,H,14,0.47284226449412153,0.2879611017122318,0.23919663379364664,0.41803190382121996,0.7489934249774267,0.5976209683258117,0.20736782327900918,0.1950112083951791,0.24293967066227978,0.5147985582191577,0.5141647343482205,0.27674160701683637,0.209093658634943,0.3563419804865423,0.6652115700335768,0.500115094597827,0.28055623521327083,0.21932867018890226,0.37670178533281584,0.6929170178537593,0.04132246985409899,0.01121949469539546,0.030102975158703638,0.04132246985409899
Atlético PR,São Paulo,1,2,A,14,0.44762395321649556,0.3090590619476903,0.2433169848358141,0.8684538927031134,1.4133902213711074,0.38915891860511764,0.2666876422527795,0.34415343914210283,0.6527016738493825,1.0666676770390597,0.3981697037810067,0.3056915790318696,0.2961387171871237,0.7474071599430403,1.216927295289417,0.4149841485890729,0.30683652322324867,0.2781793281876785,0.78738557781952,1.2794893078334668,0.04945424943548887,0.0033674829158206743,0.0528217323513096,0.0528217323513096
Grêmio,Palmeiras,2,2,D,14,0.25347637556179536,0.2926531132016024,0.45387051123660216,0.770588332201504,1.2287672853325768,0.33761114860356856,0.2641775360652591,0.3982113153311723,0.8139882377501961,1.3311339167569214,0.30709067810068286,0.2929172621883437,0.39999205971097346,0.7542643305193917,1.2278650914520122,0.28886181523746113,0.2928274515328517,0.4183107332296872,0.7585180311429608,1.2281717460545787,0.05361430253888749,0.00026414898674126386,0.0538784515256287,0.0538784515256287
Bahia,Juventude,2,0,H,14,0.5374326442614524,0.2724997709077427,0.190067584830805,0.32435037054313953,0.6209518398345983,0.5175070731076872,0.231052967163828,0.2514399597284849,0.3494069514845818,0.6587320860950756,0.6303499679729809,0.21836603971350377,0.15128399231351541,0.20721171980805153,0.46148010911317133,0.5987580779110613,0.236771508319545,0.16447041376939386,0.24410634419901395,0.5128976390560583,0.0929173237115285,0.05413373119423892,0.03878359251728958,0.0929173237115285
Fluminense,Internacional,1,1,D,14,0.30169645101762727,0.3247132768880775,0.37359027209429513,0.6866025983713593,1.1248127110016373,0.3977700062391312,0.26429972367023896,0.33793027009062987,0.8136727418986913,1.3306715028879945,0.34416118421052627,0.30530427631578944,0.3505345394736841,0.7239235325863488,1.1864463724092031,0.32972317492494063,0.31190333651036745,0.3583734885646919,0.7106259476941751,1.1650619580534656,0.04246473319289901,0.01940900057228806,0.023055732620611002,0.04246473319289901
Corinthians,Vitória,3,2,H,14,0.5698956635186689,0.2670869341180597,0.1630174023632713,0.28289984410989955,0.5623019813670644,0.607840395877633,0.20417544288599962,0.18798416123636733,0.2308148114588462,0.4978429382571146,0.5183826461440306,0.2918893053672542,0.18972804848871525,0.3531513745063405,0.6570416103068094,0.5358970720514077,0.2834564991425281,0.1806464288060643,0.32837224687697875,0.6238131661062456,0.051513017374638315,0.024802371249194488,0.026710646125443938,0.051513017374638315
Flamengo,Cuiabá,1,1,D,15,0.7392538930322178,0.19193391564313103,0.06881219132465119,1.2042022327260327,1.6506041555598006,0.719806583375521,0.16498484826934892,0.1152085683551302,1.2286448353129416,1.8019016379686796,0.6590750422132745,0.2161400831276789,0.12478487465904663,1.0643875454911855,1.5318285485061047,0.6863358514917152,0.2079099861829326,0.10575416232535217,1.1096474338807167,1.5706500516838062,0.08017885081894327,0.024206167484547875,0.05597268333439544,0.08017885081894327
São Paulo,Bragantino,2,0,H,15,0.48192359032292287,0.30217329521901637,0.2159031144580607,0.4063260214401,0.7299697037991488,0.5481918129446968,0.22221708382923358,0.22959110322606968,0.3062231449163323,0.6011300296563892,0.48519443453442745,0.27827327863003926,0.23653228683553335,0.3984083105494864,0.7232055724346905,0.4840823475025159,0.28639928427029143,0.22951836822719263,0.4008742555427232,0.7255002472695751,0.0032708442115045866,0.023900016588977113,0.020629172377472638,0.023900016588977113
Cruzeiro,Corinthians,3,0,H,15,0.3886095754906362,0.30404941314087036,0.30734101136849346,0.5607027940820561,0.9451801013474352,0.3732705081630671,0.2711166626915333,0.35561282914539954,0.5927545849799698,0.9854518992281317,0.514018691588785,0.2803738317757009,0.20560747663551399,0.35706175211808894,0.6654956492294354,0.47137959211541447,0.28842352943985855,0.24019687844472704,0.4203222083812015,0.7520915814931486,0.1254091160981488,0.02367558136516945,0.10173353473297947,0.1254091160981488
Fortaleza,Fluminense,1,0,H,15,0.40771536551022286,0.3166312197950228,0.2756534146947543,0.5270412226344512,0.897185981590875,0.5744726474715033,0.21443330777759845,0.21109404475089832,0.27161586696364803,0.5543027938424271,0.5211419671144621,0.2682348360147967,0.21062319687074105,0.34561707397094266,0.6517327846842604,0.4825769225690208,0.28468960650007363,0.23273347093090557,0.40293968159885846,0.7286149458963987,0.11342660160423929,0.04839638378022609,0.06503021782401325,0.11342660160423929
Juventude,Grêmio,3,0,H,15,0.4488823966529331,0.2952470369990637,0.25587056634800326,0.4563711722989893,0.8009943483696311,0.43343419194156096,0.2544607386831082,0.3121050693753309,0.48315665672184516,0.8360153006484738,0.3865979381443299,0.30670103092783507,0.30670103092783507,0.564393134233181,0.9503700455270176,0.407774654037255,0.30280667299205277,0.28941867297069224,0.5261859098733255,0.8970405756981837,0.0622844585086032,0.011453993928771389,0.05083046457983181,0.0622844585086032
Internacional,Vasco da Gama,1,2,A,15,0.6767149746076873,0.22475893943347353,0.09852608595883924,1.3211149554102326,2.317433933796482,0.6194402355841251,0.20049110471906992,0.18006865969680497,1.0961902913433832,1.714417058062694,0.5613836121349589,0.26509781684150835,0.17351857102353274,1.0684999649108113,1.7514706477237258,0.6005962753756865,0.2513825985227765,0.14802112610153695,1.149777098404504,1.9104002714756636,0.11533136247272835,0.04033887740803482,0.0749924850646935,0.11533136247272835
Vitória,Criciúma,2,1,H,15,0.5158602091707543,0.2804525199053769,0.20368727092386896,0.35453345732187524,0.6619194626637624,0.5993099659621529,0.206843496986191,0.19384653705165614,0.24091321554964656,0.5119763423184478,0.4484202512371526,0.30376855728968405,0.2478111914731633,0.4579259422624906,0.8020244254740079,0.4713498369345772,0.29584110457901963,0.23280905848640324,0.4211930117809581,0.752154707094048,0.06743995793360164,0.023316037384307153,0.04412392054929434,0.06743995793360164
Palmeiras,Bahia,2,0,H,15,0.6191962720675781,0.2410966686630598,0.13970705926936205,0.22265714525734828,0.47933297728744023,0.6720408071949352,0.18281383021832295,0.14514536258674177,0.16204530494488023,0.3974362153102121,0.556367975035947,0.22519656132407379,0.21843546363997918,0.2952369165815061,0.5863253780373171,0.5777295960267016,0.230602597819329,0.19166780615396933,0.2682264001086714,0.5486493467183488,0.06282829703163106,0.015900107338986003,0.07872840437061712,0.07872840437061712
Atlético GO,Atlético PR,1,2,A,15,0.41191232487836466,0.29706691490636933,0.2910207602152661,0.7605720777644267,1.234360673409357,0.42829013970854385,0.25587745063897777,0.31583240965247833,0.7169910051990008,1.152543555281124,0.48657187993680884,0.287519747235387,0.22590837282780407,0.9186376466536391,1.487625791884269,0.46118763121693784,0.29076578424352095,0.24804658453954115,0.8626727114968894,1.3941387095717985,0.07465955505844418,0.009547167670982348,0.06511238738746206,0.07465955505844418
Botafogo,Atlético Mineiro,3,0,H,15,0.5721536157956691,0.2694557689656961,0.15839061523863474,0.2807465269012877,0.5583477645745369,0.6419261671940777,0.19314439469583658,0.1649294381100858,0.1927233464980533,0.44328198627628107,0.46400294605045106,0.27177315411526415,0.2642238998342846,0.4309677583839928,0.7678643775293764,0.5007741737638253,0.270985243164411,0.2282405830717637,0.37475319135500496,0.6916000304864373,0.10815066974521809,0.0023173851495680298,0.10583328459564989,0.10815066974521809
Grêmio,Cruzeiro,0,2,A,16,0.41349825859052075,0.30775370567500643,0.27874803573447293,0.7858975491709728,1.2774470029251104,0.5223756309992246,0.22966618801595,0.24795818098482533,0.8911897553272684,1.3944951720971472,0.3772968558595345,0.2858309514087382,0.3368721927317272,0.6637907389971424,1.088051670617487,0.38960533278806986,0.2932846878592694,0.3171099793526608,0.704147003769335,1.1485066272529234,0.036201402730986265,0.02192275426626822,0.05812415699725426,0.05812415699725426
Vasco da Gama,Corinthians,2,0,H,16,0.3059826632399799,0.3032662796256792,0.39075105713434083,0.7263168887330766,1.1842268347132696,0.3788641914411637,0.26955345995379804,0.35158234860503823,0.5820789082977378,0.970577472044982,0.43812451960030746,0.31398923904688697,0.24788624135280551,0.4757408863636498,0.8252521176839094,0.39319628843779614,0.3103434328436763,0.2964602787185276,0.5524124875327308,0.9334463301285594,0.13214185636032755,0.010722959421207767,0.14286481578153531,0.14286481578153531
Atlético PR,Bahia,1,3,A,16,0.46660492373093887,0.29053601896512093,0.24285905730394022,0.8753937402727345,1.4152740150079892,0.4593632231948235,0.24731148132805378,0.2933252954771227,0.7715666776331094,1.2264730623359665,0.43220338983050843,0.2796610169491525,0.288135593220339,0.7717609882217753,1.2443240998495033,0.4438999113566548,0.2833585176345818,0.27274157100876345,0.8062440033573149,1.2992305584723771,0.03440153390043044,0.010875002015968416,0.04527653591639877,0.04527653591639877
Palmeiras,Atlético GO,3,1,H,16,0.6661463969488627,0.21866991694589716,0.11518368610524017,0.17254204239214244,0.4062458173590451,0.742614588657942,0.1556998982512914,0.10168551309076661,0.10082965185971533,0.2975780920538031,0.6983240223463686,0.18994413407821228,0.11173184357541899,0.1395711744327581,0.359072068538454,0.6873836297112167,0.19971090025322516,0.1129054700355582,0.15036108381643765,0.3748627296430895,0.032177625397505905,0.028725782867684874,0.0034518425298211836,0.032177625397505905
Flamengo,Fortaleza,1,2,A,16,0.6503789698130801,0.2365965735071448,0.11302445667977502,1.2656963574186535,2.180151052893093,0.5300696488430404,0.22746371082053374,0.24246664033642584,0.9065703633680136,1.4168911436906035,0.5963302752293578,0.24464831804281348,0.15902140672782872,1.1227075910183393,1.8387164523158261,0.6147068313878234,0.24191072490068616,0.14338244371149048,1.1701789251185313,1.9422397871017971,0.0540486945837223,0.008051744535668676,0.045996950048053695,0.0540486945837223
